"Year" "Geo" "Age" "Sex" "Pop"
2015 5112 "65" 2 12964
2015 5112 "70" 1 10026
2015 5112 "70" 2 11976
2015 5112 "75" 1 10671
2015 5112 "75" 2 14177
2015 5112 "80" 1 6603
2015 5112 "80" 2 9860
2015 5112 "85" 1 3278
2015 5112 "85" 2 6482
2015 5112 "90" 1 886
2015 5112 "90" 2 3287
2015 5113 "60" 1 17180
2015 5113 "60" 2 18809
2015 5113 "65" 1 14308
2015 5113 "65" 2 16331
2015 5113 "70" 1 12600
2015 5113 "70" 2 15188
2015 5113 "75" 1 12710
2015 5113 "75" 2 17422
2015 5113 "80" 1 7363
2015 5113 "80" 2 11788
2015 5113 "85" 1 3873
2015 5113 "85" 2 8145
2015 5113 "90" 1 1255
2015 5113 "90" 2 4556
2015 5114 "60" 1 6543
2015 5114 "60" 2 7341
2015 5114 "65" 1 5609
2015 5114 "65" 2 6473
2015 5114 "70" 1 5064
2015 5114 "70" 2 6256
2015 5114 "75" 1 5368
